 2017-05-16 18:35:55,057 [P12604/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2017-05-16 18:35:55,060 [P12604/D2/T1] INFO  umbraco.content - Loading content from database...
 2017-05-16 18:35:55,359 [P12604/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-05-16 18:35:55,368 [P12604/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-05-16 18:35:55,368 [P12604/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-05-16 18:35:55,373 [P12604/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1517ms)
 2017-05-16 18:35:56,138 [P12604/D2/T7] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:60222/umbraco (UmbracoModule request)
 2017-05-16 18:35:56,342 [P12604/D2/T7] WARN  Umbraco.Web.UmbracoModule - Umbraco has no content
 2017-05-16 18:35:57,113 [P12604/D2/T16] WARN  Umbraco.Web.UmbracoModule - Umbraco has no content
 2017-05-16 18:35:59,218 [P12604/D2/T8] INFO  umbraco.content - Save Xml to file...
 2017-05-16 18:35:59,226 [P12604/D2/T7] INFO  umbraco.content - Saved Xml to file.
 2017-05-16 18:37:57,055 [P12604/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-05-16 18:37:57,055 [P12604/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 5ms)
 2017-05-16 18:38:34,973 [P12604/D2/T7] WARN  Umbraco.Web.UmbracoModule - Umbraco has no content
 2017-05-16 18:42:40,384 [P9192/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.2 application starting on MARK-PC
 2017-05-16 18:42:40,404 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-05-16 18:42:40,412 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 6ms)
 2017-05-16 18:42:40,488 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-05-16 18:42:40,675 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 187ms)
 2017-05-16 18:42:40,684 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-05-16 18:42:40,687 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
 2017-05-16 18:42:40,688 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-05-16 18:42:40,691 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 3ms)
 2017-05-16 18:42:40,701 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-05-16 18:42:40,703 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 2ms)
 2017-05-16 18:42:40,703 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-05-16 18:42:40,708 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 4ms)
 2017-05-16 18:42:40,735 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-05-16 18:42:40,738 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 2ms)
 2017-05-16 18:42:40,738 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-05-16 18:42:40,741 [P9192/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 2ms)
 2017-05-16 18:42:41,217 [P9192/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-05-16 18:42:41,411 [P9192/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-05-16 18:42:41,455 [P9192/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
